Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought
Amir Albazi,5,1,2,2,0,165.1,172.72,2.72,1.39,0.34,0.5,Orthodox,125,31,0.2,0.4,0.4,2.6,1565.9620006105586,1516.090113682549,3.07,5,3.0,0.0,0.0,0.0,1.0,13
Erin Blanchfield,6,0,3,3,1,162.56,167.64,5.24,1.86,0.44,0.8,Orthodox,125,25,0.0,0.5,0.5,2.7142857142857144,1566.8442171777967,1540.8557972158394,3.32,0,3.0,0.0,0.0,1.0,0.8571428571428571,19
Rose Namajunas,11,2,3,6,5,165.1,165.1,3.71,1.46,0.42,0.4,Orthodox,125,32,0.1818181818181818,0.2727272727272727,0.5454545454545454,3.25,1548.549955662947,1536.514633417994,3.53,2,1.0,0.0,0.0,2.0,0.6875,52
Caio Machado,1,0,0,1,2,193.04,198.12,5.82,0.0,0.53,0.0,Southpaw,250,30,0.0,0.0,1.0,3.0,1471.839390002342,1498.8543218956313,1.87,0,0.0,0.0,0.0,2.0,0.3333333333333333,9
Brendson Ribeiro,1,1,0,0,2,190.5,205.74,3.16,1.27,0.42,0.4,Orthodox,205,28,1.0,0.0,0.0,1.6666666666666667,1468.2187640973068,1490.6131300007808,5.29,0,0.0,1.0,0.0,0.0,0.3333333333333333,5
Marc-Andre Barriault,5,2,1,2,7,185.42,187.96,5.98,0.21,0.47,0.1,Orthodox,185,34,0.4,0.2,0.4,2.583333333333333,1521.2868259852692,1507.7545306422874,5.22,0,3.0,2.0,1.0,1.0,0.4166666666666667,31
Dustin Stoltzfus,3,1,1,1,5,182.88,190.5,3.47,2.31,0.44,1.1,Orthodox,185,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.125,1454.595725401215,1500.3417336780794,3.29,0,2.5,2.0,2.0,1.0,0.375,17
Mike Malott,4,1,3,0,1,185.42,185.42,3.85,2.27,0.46,0.8,Orthodox,170,32,0.25,0.75,0.0,1.6,1522.004055369669,1500.722799607766,3.07,0,5.0,1.0,0.0,0.0,0.8,8
Trevin Giles,7,3,0,4,6,182.88,187.96,3.17,1.07,0.54,0.3,Orthodox,170,32,0.4285714285714285,0.0,0.5714285714285714,2.4615384615384617,1484.1257809138442,1507.4294225674364,2.09,0,1.0,3.0,2.0,0.0,0.5384615384615384,32
Ilia Topuria,7,4,1,2,0,170.18,175.26,4.69,2.02,0.47,1.1,Orthodox,145,27,0.5714285714285714,0.1428571428571428,0.2857142857142857,2.2857142857142856,1613.0735700613072,1531.838653665782,3.05,7,4.0,0.0,0.0,0.0,1.0,16
Max Holloway,22,11,2,9,7,180.34,175.26,7.16,0.25,0.47,0.3,Orthodox,145,32,0.5,0.0909090909090909,0.4090909090909091,3.3793103448275863,1576.2885302697491,1537.7020094576865,4.75,3,2.0,0.0,0.0,2.0,0.7586206896551724,98
Robert Whittaker,17,6,0,11,5,182.88,185.42,4.54,0.8,0.43,0.0,Orthodox,185,33,0.3529411764705882,0.0,0.6470588235294118,2.909090909090909,1548.006071741106,1536.124079380793,3.39,2,1.0,2.0,0.0,1.0,0.7727272727272727,64
Khamzat Chimaev,7,2,3,2,0,187.96,190.5,5.36,4.31,0.58,2.8,Orthodox,185,30,0.2857142857142857,0.4285714285714285,0.2857142857142857,1.7142857142857142,1599.0355353518205,1529.5931359305946,3.46,7,4.0,0.0,0.0,0.0,1.0,12
Magomed Ankalaev,10,6,0,4,1,190.5,190.5,3.64,0.92,0.52,0.0,Orthodox,205,32,0.6,0.0,0.4,3.0,1610.1628562639355,1504.647031098874,2.2,10,2.0,0.0,0.0,0.0,0.9090909090909092,33
Aleksandar Rakic,6,2,0,4,3,193.04,198.12,4.16,0.66,0.5,0.1,Orthodox,205,32,0.3333333333333333,0.0,0.6666666666666666,2.4444444444444446,1488.7513220388623,1532.180432007931,2.3,0,2.5,2.0,0.0,0.0,0.6666666666666666,22
Lerone Murphy,6,2,0,4,0,175.26,185.42,4.8,1.78,0.54,0.6,Orthodox,145,33,0.3333333333333333,0.0,0.6666666666666666,3.333333333333333,1587.3407110952658,1511.7921398885187,2.4,6,1.0,0.0,0.0,0.0,1.0,20
Dan Ige,11,4,2,5,7,170.18,180.34,3.66,0.99,0.45,0.2,Orthodox,145,33,0.3636363636363636,0.1818181818181818,0.4545454545454545,2.7222222222222223,1522.9612129761613,1526.4155946376434,3.53,0,3.0,0.0,0.0,6.0,0.6111111111111112,49
Shara Magomedov,3,1,0,2,0,187.96,185.42,6.82,0.0,0.65,0.0,Orthodox,185,30,0.3333333333333333,0.0,0.6666666666666666,3.0,1550.0975830711095,1518.6156687114794,4.33,3,1.6666666666666667,0.0,0.0,0.0,1.0,9
Armen Petrosyan,4,1,0,3,2,190.5,180.34,5.95,0.19,0.52,0.0,Orthodox,185,33,0.25,0.0,0.75,2.333333333333333,1513.3668324612756,1520.749926213056,3.03,0,0.0,0.0,1.0,1.0,0.6666666666666666,14
Geoff Neal,8,5,1,2,4,180.34,190.5,5.05,0.56,0.51,0.1,Southpaw,170,34,0.625,0.125,0.25,2.5,1502.919855658399,1520.7055615483514,5.6,0,3.333333333333333,0.0,1.0,3.0,0.6666666666666666,30
Rafael Dos Anjos,21,4,5,12,14,172.72,177.8,3.48,1.95,0.47,0.6,Southpaw,170,40,0.1904761904761904,0.238095238095238,0.5714285714285714,3.1714285714285717,1482.4496312298584,1526.429748679221,3.19,0,1.6666666666666667,1.0,0.0,3.0,0.6,111
Mateusz Rebecki,4,1,2,1,1,170.18,167.64,4.7,3.84,0.48,0.8,Southpaw,155,31,0.25,0.5,0.25,2.0,1521.516467734853,1498.0047428891698,2.01,0,3.333333333333333,1.0,0.0,0.0,0.8,10
Myktybek Orolbai,2,0,1,1,0,177.8,187.96,3.42,5.36,0.48,0.4,Orthodox,155,26,0.0,0.5,0.5,2.5,1530.4557384891234,1537.0302728182517,1.52,2,2.5,0.0,0.0,0.0,1.0,5
Abus Magomedov,2,1,0,1,2,187.96,198.12,2.65,3.12,0.44,0.3,Orthodox,185,34,0.5,0.0,0.5,2.25,1502.4977419270288,1519.9700433708333,5.36,1,2.5,1.0,0.0,1.0,0.5,9
Brunno Ferreira,4,4,0,0,1,177.8,182.88,3.76,0.5,0.5,0.5,Orthodox,185,31,1.0,0.0,0.0,1.0,1538.502149589801,1504.7848728797703,5.22,2,5.0,1.0,0.0,0.0,0.8,5
Chris Barnett,2,2,0,0,2,175.26,190.5,4.21,0.0,0.47,0.0,Orthodox,265,38,1.0,0.0,0.0,2.25,1511.1226227607378,1495.3903969715695,5.87,1,5.0,0.0,1.0,1.0,0.5,9
Farid Basharat,4,0,1,3,0,172.72,180.34,4.36,3.97,0.55,0.5,Orthodox,135,27,0.0,0.25,0.75,2.5,1541.793391451557,1510.035939734445,2.34,4,1.6666666666666667,0.0,0.0,0.0,1.0,10
Victor Hugo,2,0,1,1,0,170.18,180.34,3.27,0.81,0.44,1.2,Orthodox,135,31,0.0,0.5,0.5,2.5,1515.0,1520.8966957257785,1.1,2,0.0,0.0,0.0,0.0,1.0,5
Ismail Naurdiev,2,0,0,2,2,177.8,187.96,3.41,1.6,0.53,0.2,Orthodox,185,28,0.0,0.0,1.0,3.0,1486.266507921374,1511.8943410629493,1.3,0,0.0,0.0,0.0,2.0,0.5,12
Bruno Silva,4,4,0,0,5,182.88,187.96,3.85,0.78,0.47,0.0,Orthodox,185,35,1.0,0.0,0.0,2.111111111111111,1532.5773642517972,1505.3463649543578,3.09,0,5.0,0.0,3.0,5.0,0.4444444444444444,19
