RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Julian Marquez,Marc-Andre Barriault,Blue,Marc-Andre Barriault,Middleweight,MALE,KO/TKO,Punches,4,1,3,0,2,3,1,1,1,5,187.96,185.42,182.88,187.96,4.85,0.0,0.45,2.6,6.12,0.21,0.47,0.1,Orthodox,Orthodox,185,32,0,1,-3,0,2,-1,2.5400000000000205,-5.0800000000000125,-1,-1.2700000000000005,-0.019999999999999962,-0.21,2.5,3,1,10.969999999999999,0.45999999999999996,0.25,0.3333333333333333,0.75,0.3333333333333333,0.0,0.3333333333333333,2.1666666666666665,2.75,-0.08333333333333331,0.4166666666666667,-0.3333333333333333,-0.5833333333333335,-2,1502.9547830858733,1518.7447573097709,-15.789974223897616,1499.09485097186,1505.3552320453884,-6.260381073528379,4.99,5.22,-0.22999999999999954,0.33333333333333337,10.21,0.29166666666666663,0.5416666666666666,0.16666666666666666,32.5,0.0,0,0,5.0,3.75,1.0,0.0,0.0,1.0,1.0,0.0,33,1.25,0.29166666666666663,0.375,0.6666666666666666,0.0,-1.0,0.0,185,13,22,105.0,-125.0,600.0,260.0,550.0,950.0,380.0,220.0
Ian Machado Garry,Song Kenan,Red,Ian Machado Garry,Welterweight,MALE,KO/TKO,Punches,3,1,0,2,0,4,3,0,1,2,190.5,182.88,187.96,180.34,5.5,0.77,0.55,0.3,4.57,0.43,0.47,0.0,Orthodox,Orthodox,170,25,3,-1,-2,-2,0,1,7.6200000000000045,7.6200000000000045,-7,0.9299999999999997,0.08000000000000007,0.34,0.3,0,0,10.07,0.51,0.3333333333333333,0.75,0.0,0.0,0.6666666666666666,0.25,2.3333333333333335,1.8333333333333333,-0.4166666666666667,0.0,0.41666666666666663,0.5000000000000002,-3,1500.0,1503.4442556151232,-3.444255615123211,1503.4442556151232,1502.859159269451,0.5850963456721274,3.7387198849334777,5.86,-0.22214285714285714,-0.4166666666666667,7.675875093492895,0.5416666666666666,0.0,0.4583333333333333,28.5,1.5,3,0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,32,-5.0,0.33333333333333337,0.6666666666666666,1.0,-1.0,0.0,0.0,170,7,11,-107.6150253016738,41.43684415079674,290.0,425.1650193382037,500.0,1148.9118658641444,-135.0,613.8688736027515
Mana Martinez,Cameron Saaiman,Blue,Cameron Saaiman,Bantamweight,MALE,M-DEC,No Finish,2,0,0,2,2,2,2,0,0,0,177.8,172.72,177.8,170.18,4.33,0.72,0.48,0.5,5.32,0.91,0.46,0.7,Orthodox,Southpaw,135,26,-1,0,2,-2,0,2,5.0800000000000125,7.6200000000000045,4,-0.9900000000000002,0.019999999999999962,-0.19000000000000006,-0.19999999999999996,0,1,9.65,0.47,0.0,1.0,0.0,0.0,1.0,0.0,2.5,3.0,-1.0,0.0,1.0,-0.5,2,1503.861132440957,1520.0,-16.138867559043092,1494.9178210393732,1501.9305662204783,-7.012745181105174,4.94,3.24,1.7000000000000002,-1.0,8.18,0.5,0.0,0.5,24.0,1.5,1,2,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,22,-5.0,-0.5,1.0,0.5,0.0,0.0,1.0,135,10,6,210.0,-250.0,600.0,195.0,1600.0,600.0,600.0,180.0
Jessica Penne,Tabatha Ricci,Blue,Tabatha Ricci,Women's Strawweight,FEMALE,SUB,Armbar,6,1,3,2,5,2,0,0,2,1,165.1,154.94,170.18,154.94,2.52,1.32,0.31,0.6,4.63,2.99,0.38,0.1,Orthodox,Orthodox,115,40,-2,4,4,1,3,0,10.159999999999997,15.240000000000009,12,-2.11,-0.07,-1.6700000000000002,0.5,4,1,7.15,0.345,0.16666666666666666,0.0,0.5,0.0,0.3333333333333333,1.0,2.5454545454545454,2.6666666666666665,0.16666666666666666,0.5,-0.6666666666666667,-0.1212121212121211,8,1505.756339277941,1512.6521307935718,-6.89579151563089,1500.038032698393,1509.672877979542,-9.634845281148955,4.75,4.86,-0.11000000000000032,0.6666666666666666,9.61,0.08333333333333333,0.25,0.6666666666666666,34.0,1.0,0,2,2.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28,2.5,-0.12121212121212122,0.6666666666666666,0.5454545454545454,-1.0,0.0,1.0,115,28,8,195.0,-230.0,370.0,-125.0,950.0,500.0,2000.0,1000.0
Andre Muniz,Brendan Allen,Blue,Brendan Allen,Middleweight,MALE,SUB,Rear Naked Choke,7,0,4,3,0,9,1,5,3,2,185.42,187.96,198.12,190.5,1.97,4.23,0.5,1.2,3.98,1.74,0.53,1.4,Southpaw,Orthodox,185,33,4,-2,-2,-1,-1,0,-2.5400000000000205,7.6200000000000045,6,-2.01,-0.030000000000000027,2.49,-0.19999999999999996,4,1,5.95,0.515,0.0,0.1111111111111111,0.5714285714285714,0.5555555555555556,0.42857142857142855,0.3333333333333333,1.8571428571428572,1.9090909090909092,-0.1111111111111111,0.015873015873015817,0.09523809523809523,-0.051948051948051965,-4,1551.5014781718974,1563.674088674891,-12.17261050299362,1521.3327699876622,1510.3235901063003,11.009179881361888,2.03,3.6,-1.5700000000000003,-0.09523809523809523,5.63,0.05555555555555555,0.5634920634920635,0.38095238095238093,30.0,5.0,7,3,3.75,3.0,0.0,0.0,0.0,2.0,0.0,0.0,27,0.75,0.18181818181818177,0.8181818181818182,1.0,-2.0,0.0,0.0,185,13,21,-205.0,175.0,450.0,400.0,120.0,750.0,400.0,800.0
Augusto Sakai,Don'Tale Mayes,Red,Augusto Sakai,Heavyweight,MALE,DEC,No Finish,5,3,0,2,4,4,3,0,1,3,190.5,198.12,195.58,205.74,4.6,0.23,0.49,0.0,3.51,0.65,0.43,0.0,Orthodox,Orthodox,265,31,-2,1,1,0,0,1,-7.6200000000000045,-10.159999999999997,0,1.0899999999999999,0.06,-0.42000000000000004,0.0,2,0,8.11,0.45999999999999996,0.6,0.75,0.0,0.0,0.4,0.25,2.4444444444444446,2.857142857142857,-0.15000000000000002,0.0,0.15000000000000002,-0.41269841269841256,2,1455.9610833707034,1521.9994451067585,-66.0383617360551,1519.4490069798087,1484.315934493838,35.133072485970615,3.83,3.84,-0.009999999999999787,-0.15000000000000002,7.67,0.675,0.0,0.325,31.0,1.0,0,2,2.5,2.5,4.0,0.0,0.0,0.0,1.0,0.0,31,0.0,-0.015873015873015817,0.5714285714285714,0.5555555555555556,4.0,-1.0,0.0,260,22,20,-135.0,115.0,275.0,550.0,1600.0,1600.0,200.0,200.0
Tatiana Suarez,Montana De La Rosa,Red,Tatiana Suarez,Women's Flyweight,FEMALE,SUB,Guillotine Choke,5,1,2,2,0,5,1,3,1,3,165.1,170.18,167.64,172.72,4.27,6.2,0.63,0.9,2.9,1.85,0.37,0.8,Southpaw,Orthodox,115,32,5,0,-3,0,-1,1,-5.0800000000000125,-5.0800000000000125,4,1.3699999999999997,0.26,4.35,0.09999999999999998,1,0,7.17,0.5,0.2,0.2,0.4,0.6,0.4,0.2,2.2,2.875,0.0,-0.19999999999999996,0.2,-0.6749999999999998,-3,1500.0,1500.353169886027,-0.35316988602698984,1500.353169886027,1498.3996488980579,1.9535209879691138,1.38,3.21,-1.83,-0.20000000000000007,4.59,0.2,0.5,0.30000000000000004,30.0,2.5,5,0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,3.0,28,-3.3333333333333335,0.375,0.625,1.0,0.0,0.0,-3.0,125,11,23,-750.0,550.0,-110.0,900.0,225.0,1600.0,350.0,2800.0
Mike Malott,Yohan Lainesse,Red,Mike Malott,Welterweight,MALE,SUB,Arm Triangle,2,1,1,0,0,2,1,0,1,1,185.42,185.42,185.42,193.04,3.83,3.04,0.46,1.0,2.22,0.94,0.41,0.5,Orthodox,Orthodox,170,31,1,0,-1,0,1,-1,0.0,-7.6200000000000045,1,1.6099999999999999,0.050000000000000044,2.1,0.5,1,0,6.050000000000001,0.435,0.5,0.5,0.5,0.0,0.0,0.5,1.0,2.0,0.0,0.5,-0.5,-1.0,-1,1519.8121875241632,1489.797001699858,30.015185824305263,1493.2671344576593,1497.220204928182,-3.953070470522789,3.07,3.44,-0.3700000000000001,0.5,6.51,0.5,0.25,0.25,30.5,1.5,2,1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,5.0,0.33333333333333337,0.6666666666666666,1.0,-1.0,0.0,0.0,170,2,6,-215.0,185.0,500.0,650.0,280.0,1800.0,200.0,340.0
Jordan Leavitt,Victor Martinez,Red,Jordan Leavitt,Lightweight,MALE,KO/TKO,Knees,4,1,2,1,2,1,0,0,1,0,175.26,172.72,180.34,177.8,2.55,2.19,0.61,1.1,7.94,0.7,0.51,0.0,Southpaw,Orthodox,155,27,-1,3,2,1,2,0,2.539999999999992,2.539999999999992,-4,-5.390000000000001,0.09999999999999998,1.49,1.1,0,0,10.49,0.56,0.25,0.0,0.5,0.0,0.25,1.0,2.0,3.0,0.25,0.5,-0.75,-1.0,5,1512.0210344393386,1500.0,12.021034439338564,1498.6852665642612,1512.0210344393386,-13.335767875077408,1.84,7.45,-5.61,0.75,9.290000000000001,0.125,0.25,0.625,29.0,0.5,0,1,3.3333333333333335,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31,3.3333333333333335,-0.33333333333333337,1.0,0.6666666666666666,0.0,1.0,1.0,155,12,3,-105.0,-115.0,440.0,460.0,170.0,2000.0,1300.0,230.0
Ode Osbourne,Charles Johnson,Red,Ode Osbourne,Catch Weight,MALE,DEC,No Finish,4,2,1,1,3,2,1,0,1,1,170.18,175.26,185.42,177.8,3.46,1.27,0.38,0.2,4.83,0.38,0.51,0.5,Southpaw,Switch,125,31,-2,2,2,1,1,0,-5.079999999999984,7.619999999999976,-1,-1.37,-0.13,0.89,-0.3,2,0,8.29,0.445,0.5,0.5,0.25,0.0,0.25,0.5,1.2857142857142858,2.3333333333333335,0.0,0.25,-0.25,-1.0476190476190477,4,1493.1936274484988,1516.066901800065,-22.873274351566124,1495.3378182678352,1496.788469773566,-1.4506515057307752,4.41,3.27,1.1400000000000001,0.25,7.68,0.5,0.125,0.375,31.5,1.0,0,2,2.5,2.5,2.0,0.0,0.0,0.0,0.0,1.0,32,0.0,-0.09523809523809523,0.6666666666666666,0.5714285714285714,2.0,0.0,-1.0,125,9,7,145.0,-170.0,500.0,425.1650193382037,1200.0,1148.9118658641444,380.0,613.8688736027515
Rafael Alves,Nurullo Aliev,Blue,Nurullo Aliev,Lightweight,MALE,M-DEC,No Finish,2,0,2,0,2,1,1,0,0,0,172.72,177.8,172.72,182.88,1.85,0.29,0.48,1.5,2.5,3.06,0.51,0.0,Orthodox,Orthodox,155,32,-1,1,2,-1,2,0,-5.0800000000000125,-10.159999999999997,10,-0.6499999999999999,-0.030000000000000027,-2.77,1.5,0,1,4.35,0.495,0.0,1.0,1.0,0.0,0.0,0.0,2.25,1.0,-1.0,1.0,0.0,1.25,3,1480.6382282054906,1500.0,-19.361771794509423,1512.0209127993871,1480.6382282054906,31.382684593896556,3.3,0.46,2.84,0.0,3.76,0.5,0.5,0.0,27.0,0.5,0,1,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,22,5.0,-0.5,1.0,0.5,1.0,0.0,1.0,155,9,1,155.0,-180.0,460.0,250.0,600.0,420.0,650.0,340.0
Jessica Andrade,Erin Blanchfield,Blue,Erin Blanchfield,Women's Flyweight,FEMALE,SUB,Rear Naked Choke,15,5,3,7,7,4,0,2,2,0,154.94,162.56,157.48,167.64,6.62,2.37,0.5,0.3,5.47,2.05,0.45,1.0,Orthodox,Orthodox,125,31,-1,11,7,5,1,5,-7.6200000000000045,-10.159999999999997,8,1.1500000000000004,0.04999999999999999,0.3200000000000003,-0.7,4,1,12.09,0.475,0.3333333333333333,0.0,0.2,0.5,0.4666666666666667,0.5,2.1363636363636362,2.25,0.3333333333333333,-0.3,-0.033333333333333326,-0.11363636363636376,18,1534.05384932899,1555.5827863728662,-21.528937043876113,1527.2844931233385,1528.0776334729703,-0.7931403496318126,5.36,3.32,2.0400000000000005,0.033333333333333326,8.68,0.16666666666666666,0.35,0.48333333333333334,27.0,3.5,3,4,3.75,2.5,1.0,0.0,1.0,0.0,0.0,0.0,23,1.25,-0.31818181818181823,1.0,0.6818181818181818,1.0,0.0,1.0,125,47,9,-120.0,100.0,650.0,300.0,800.0,350.0,140.0,650.0
Josh Parisian,Jamal Pogues,Blue,Jamal Pogues,Heavyweight,MALE,DEC,No Finish,4,3,0,1,2,2,0,0,2,0,193.04,190.5,200.66,195.58,4.55,0.98,0.48,0.2,3.36,2.4,0.44,0.0,Orthodox,Orthodox,265,33,-1,2,2,3,0,-1,2.539999999999992,5.079999999999984,6,1.19,0.03999999999999998,-1.42,0.2,5,1,7.91,0.45999999999999996,0.75,0.0,0.0,0.0,0.25,1.0,2.1666666666666665,3.0,0.75,0.0,-0.75,-0.8333333333333335,4,1493.8228799548,1500.0,-6.177120045199899,1484.1914851714382,1493.8228799548,-9.631394783361884,4.81,4.25,0.5599999999999996,0.75,9.059999999999999,0.375,0.0,0.625,30.0,1.5,1,2,2.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,27,2.5,-0.33333333333333337,1.0,0.6666666666666666,1.0,0.0,1.0,205,13,6,245.0,-295.0,450.0,140.0,1800.0,550.0,600.0,250.0
William Knight,Marcin Prachnio,Blue,Marcin Prachnio,Light Heavyweight,MALE,DEC,No Finish,5,3,0,2,3,2,1,0,1,4,177.8,190.5,185.42,187.96,2.62,1.78,0.56,0.4,5.57,0.15,0.54,0.0,Orthodox,Orthodox,205,34,0,3,-1,2,0,1,-12.699999999999989,-2.5400000000000205,0,-2.95,0.020000000000000018,1.6300000000000001,0.4,5,1,8.190000000000001,0.55,0.6,0.5,0.0,0.0,0.4,0.5,2.5,1.8333333333333333,0.09999999999999998,0.0,-0.09999999999999998,0.6666666666666667,2,1494.896121512951,1497.9468341939264,-3.0507126809754936,1496.5849586264662,1488.5241565775814,8.060802048884852,3.3,3.25,0.04999999999999982,0.09999999999999998,6.55,0.55,0.0,0.45,34.0,0.0,0,0,1.6666666666666667,2.5,1.0,0.0,2.0,1.0,0.0,1.0,34,-0.8333333333333333,0.2916666666666667,0.3333333333333333,0.625,0.0,0.0,1.0,205,20,11,-130.0,110.0,450.0,350.0,1400.0,2000.0,150.0,240.0
Jim Miller,Alexander Hernandez,Blue,Alexander Hernandez,Lightweight,MALE,DEC,No Finish,24,5,11,8,15,5,3,0,2,5,172.72,175.26,180.34,182.88,2.99,1.53,0.42,1.7,4.33,1.06,0.41,0.1,Southpaw,Orthodox,155,39,3,19,10,2,11,6,-2.539999999999992,-2.539999999999992,9,-1.3399999999999999,0.010000000000000009,0.47,1.5999999999999999,5,1,7.32,0.415,0.20833333333333334,0.6,0.4583333333333333,0.0,0.3333333333333333,0.4,2.282051282051282,2.0,-0.3916666666666666,0.4583333333333333,-0.06666666666666671,0.28205128205128194,29,1532.6341887996996,1486.8605129662337,45.77367583346586,1499.5845371502153,1507.8555358216395,-8.270998671424195,3.08,4.9,-1.8200000000000003,0.06666666666666665,7.98,0.4041666666666667,0.22916666666666666,0.3666666666666667,34.5,1.5,3,0,5.0,3.3333333333333335,0.0,0.0,3.0,2.0,1.0,1.0,30,1.6666666666666665,0.11538461538461542,0.5,0.6153846153846154,-2.0,-1.0,2.0,145,89,20,180.0,-210.0,700.0,300.0,380.0,1600.0,900.0,110.0
Lina Lansberg,Mayra Bueno Silva,Blue,Mayra Bueno Silva,Women's Bantamweight,FEMALE,SUB,Kneebar,4,0,0,4,6,5,0,4,1,2,170.18,167.64,165.1,167.64,2.69,0.52,0.55,0.1,4.01,0.64,0.59,1.5,Orthodox,Orthodox,135,40,-2,-1,4,0,-4,3,2.5400000000000205,-2.539999999999992,9,-1.3199999999999998,-0.039999999999999925,-0.12,-1.4,4,1,6.699999999999999,0.5700000000000001,0.0,0.0,0.0,0.8,1.0,0.2,2.8,2.2857142857142856,0.0,-0.8,0.8,0.5142857142857142,3,1487.473749503509,1511.4801875623173,-24.00643805880827,1506.4205054972804,1497.7475063535583,8.672999143722109,3.87,4.71,-0.8399999999999999,-0.8,8.58,0.0,0.4,0.6,35.5,1.0,0,2,0.0,3.3333333333333335,0.0,0.0,1.0,0.0,0.0,2.0,31,-3.3333333333333335,-0.3142857142857143,0.7142857142857143,0.4,0.0,0.0,-1.0,135,28,16,390.0,-490.0,550.0,425.1650193382037,3500.0,1148.9118658641444,1400.0,613.8688736027515
Ovince Saint Preux,Philipe Lins,Blue,Philipe Lins,Light Heavyweight,MALE,KO/TKO,Punch,20,9,5,6,12,1,0,0,1,2,190.5,187.96,203.2,198.12,3.03,1.1,0.47,0.5,3.8,1.65,0.49,0.0,Southpaw,Orthodox,205,39,0,19,10,9,5,5,2.539999999999992,5.079999999999984,2,-0.77,-0.020000000000000018,-0.5499999999999998,0.5,3,1,6.83,0.48,0.45,0.0,0.25,0.0,0.3,1.0,2.3125,2.3333333333333335,0.45,0.25,-0.7,-0.02083333333333348,29,1493.574181906122,1484.4027888670091,9.1713930391129,1503.1574638947948,1509.8029592433572,-6.645495348562463,3.14,3.73,-0.5899999999999999,0.7,6.87,0.225,0.125,0.65,38.0,1.0,1,1,3.3333333333333335,0.0,2.0,0.0,1.0,1.0,0.0,1.0,37,3.3333333333333335,0.2916666666666667,0.3333333333333333,0.625,1.0,0.0,0.0,205,74,7,180.0,-210.0,500.0,175.0,750.0,700.0,600.0,225.0
Islam Makhachev,Alexander Volkanovski,Red,Islam Makhachev,Lightweight,MALE,DEC,No Finish,12,2,6,4,1,12,4,0,8,0,177.8,167.64,177.8,180.34,2.65,3.19,0.59,1.1,6.16,1.78,0.56,0.2,Southpaw,Orthodox,155,31,-1,0,1,-2,6,-4,10.160000000000025,-2.539999999999992,-3,-3.5100000000000002,0.029999999999999916,1.41,0.9000000000000001,2,0,8.81,0.575,0.16666666666666666,0.3333333333333333,0.5,0.0,0.3333333333333333,0.6666666666666666,2.1538461538461537,3.5,-0.16666666666666666,0.5,-0.3333333333333333,-1.3461538461538463,1,1584.7200136945187,1559.9528378862065,24.76717580831223,1538.019401328181,1534.358549530514,3.6608517976669646,1.27,3.42,-2.15,0.3333333333333333,4.6899999999999995,0.25,0.25,0.5,32.5,11.5,11,12,5.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,34,3.75,-0.07692307692307687,1.0,0.9230769230769231,0.0,0.0,0.0,145,28,42,-365.0,300.0,215.0,600.0,140.0,2500.0,400.0,850.0
Yair Rodriguez,Josh Emmett,Red,Yair Rodriguez,Featherweight,MALE,SUB,Triangle Choke,9,4,0,5,2,9,3,0,6,2,180.34,167.64,180.34,177.8,4.65,0.69,0.46,0.7,4.04,0.91,0.36,0.1,Orthodox,Orthodox,145,30,-4,0,0,1,0,-1,12.700000000000017,2.539999999999992,-7,0.6100000000000003,0.10000000000000003,-0.22000000000000008,0.6,1,0,8.690000000000001,0.41000000000000003,0.4444444444444444,0.3333333333333333,0.0,0.0,0.5555555555555556,0.6666666666666666,3.1818181818181817,2.727272727272727,0.1111111111111111,0.0,-0.11111111111111105,0.4545454545454546,0,1520.2748778820912,1558.2577258815932,-37.98284799950193,1519.9383738269398,1515.743033863812,4.195339963127935,4.07,4.66,-0.5899999999999999,0.1111111111111111,8.73,0.38888888888888884,0.0,0.6111111111111112,33.5,3.0,1,5,2.5,1.25,0.0,0.0,1.0,0.0,0.0,0.0,37,1.25,0.0,0.8181818181818182,0.8181818181818182,0.0,0.0,1.0,145,35,30,-180.0,155.0,150.0,400.0,1200.0,2200.0,250.0,350.0
Jack Della Maddalena,Randy Brown,Red,Jack Della Maddalena,Welterweight,MALE,SUB,Rear Naked Choke,4,3,0,1,0,10,2,3,5,4,180.34,190.5,185.42,198.12,6.74,0.21,0.53,0.2,4.38,0.72,0.47,0.6,Switch,Orthodox,170,26,0,-6,-4,1,-3,-4,-10.159999999999997,-12.700000000000017,-6,2.3600000000000003,0.06000000000000005,-0.51,-0.39999999999999997,1,0,11.120000000000001,0.5,0.75,0.2,0.0,0.3,0.25,0.5,1.5,2.5,0.55,-0.3,-0.25,-1.0,-10,1539.369183276478,1551.172544043138,-11.803360766660035,1520.3255795205378,1514.6277507655743,5.697828754963439,4.83,3.33,1.5,0.25,8.16,0.475,0.15,0.375,29.0,4.0,4,4,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,32,3.0,0.2857142857142857,0.7142857142857143,1.0,-1.0,0.0,0.0,170,6,35,-325.0,270.0,300.0,450.0,1800.0,1100.0,-125.0,1200.0
Justin Tafa,Parker Porter,Red,Justin Tafa,Heavyweight,MALE,KO/TKO,Punch,2,2,0,0,3,3,0,0,3,2,182.88,182.88,187.96,190.5,4.09,0.0,0.54,0.0,6.55,1.35,0.5,0.5,Southpaw,Orthodox,264,29,1,-1,1,2,0,-3,0.0,-2.539999999999992,-8,-2.46,0.040000000000000036,-1.35,-0.5,0,0,10.64,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.8,2.2,1.0,0.0,-1.0,-0.40000000000000013,0,1495.0097020650553,1512.2499141583044,-17.240212093249056,1492.724451082434,1500.073926005133,-7.349474922699073,5.93,6.32,-0.39000000000000057,1.0,12.25,0.5,0.0,0.5,33.0,0.5,1,0,5.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,37,5.0,-0.19999999999999996,0.6,0.4,0.0,-1.0,2.0,265,9,11,-120.0,100.0,400.0,350.0,2000.0,500.0,165.0,350.0
Tyson Pedro,Modestas Bukauskas,Blue,Modestas Bukauskas,Light Heavyweight,MALE,DEC,No Finish,5,3,2,0,3,1,1,0,0,3,190.5,190.5,200.66,198.12,2.9,0.76,0.59,0.8,3.21,0.38,0.42,0.2,Orthodox,Switch,205,31,2,4,0,2,2,0,0.0,2.539999999999992,2,-0.31000000000000005,0.16999999999999998,0.38,0.6000000000000001,5,1,6.109999999999999,0.505,0.6,1.0,0.4,0.0,0.0,0.0,1.5,1.75,-0.4,0.4,0.0,-0.25,4,1533.6258563779963,1467.226688157634,66.3991682203623,1457.468775453833,1495.9224684312385,-38.45369297740558,2.53,3.87,-1.3400000000000003,0.0,6.4,0.8,0.2,0.0,30.0,1.0,2,0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,29,0.0,0.375,0.25,0.625,-2.0,0.0,-1.0,205,12,7,-215.0,185.0,300.0,650.0,400.0,1400.0,150.0,350.0
Josh Culibao,Melsik Baghdasaryan,Red,Josh Culibao,Featherweight,MALE,SUB,Rear Naked Choke,2,0,0,2,1,3,1,0,2,0,177.8,175.26,185.42,177.8,3.41,0.0,0.44,0.3,5.28,0.0,0.61,0.0,Orthodox,Southpaw,145,28,-1,-1,1,-1,0,0,2.5400000000000205,7.619999999999976,-3,-1.87,-0.16999999999999998,0.0,0.3,1,0,8.690000000000001,0.525,0.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,3.6666666666666665,2.6666666666666665,-0.3333333333333333,0.0,0.33333333333333337,1.0,0,1525.2770431311944,1534.137483083232,-8.860439952037495,1519.5884703585416,1508.4256810437316,11.16278931480997,3.29,3.06,0.22999999999999998,-0.3333333333333333,6.35,0.16666666666666666,0.0,0.8333333333333333,29.5,2.5,2,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,31,-2.5,-0.33333333333333337,1.0,0.6666666666666666,0.0,0.0,0.0,145,11,8,-110.0,-110.0,200.0,215.0,1000.0,2200.0,400.0,330.0
Loma Lookboonmee,Elise Reed,Red,Loma Lookboonmee,Women's Strawweight,FEMALE,SUB,Rear Naked Choke,4,0,0,4,2,2,0,0,2,2,154.94,160.02,154.94,160.02,4.1,1.9,0.57,0.1,2.66,0.58,0.49,0.0,Orthodox,Orthodox,115,27,0,2,0,0,0,2,-5.0800000000000125,-5.0800000000000125,-3,1.4399999999999995,0.07999999999999996,1.3199999999999998,0.1,1,0,6.76,0.53,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.5,2,1523.9340192214931,1485.3014395759235,38.63257964556965,1494.3541474890521,1498.735682461154,-4.3815349721019174,2.58,3.06,-0.48,0.0,5.640000000000001,0.0,0.0,1.0,28.5,1.0,1,1,1.25,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30,1.25,0.16666666666666663,0.5,0.6666666666666666,-2.0,0.0,2.0,115,18,10,-345.0,285.0,-135.0,380.0,1400.0,2200.0,350.0,1200.0
Shane Young,Blake Bilder,Blue,Blake Bilder,Featherweight,MALE,DEC,No Finish,2,1,0,1,3,1,0,1,0,0,172.72,172.72,182.88,172.72,5.19,0.63,0.4,0.0,3.81,0.31,0.48,0.6,Orthodox,Switch,145,29,-1,1,3,1,-1,1,0.0,10.159999999999997,-3,1.3800000000000003,-0.07999999999999996,0.32,-0.6,5,1,9.0,0.44,0.5,0.0,0.0,1.0,0.5,0.0,2.4,1.0,0.5,-1.0,0.5,1.4,4,1465.8615117473068,1500.0,-34.13848825269315,1499.9922135820182,1465.8615117473068,34.13070183471132,5.46,4.54,0.9199999999999999,-0.5,10.0,0.25,0.5,0.25,30.5,0.5,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32,0.0,-0.6,1.0,0.4,1.0,0.0,1.0,145,12,1,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
