,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedMatchSigStr,BlueMatchSigStr,RedMatchTD,BlueMatchTD,RedMatchSubAtt,BlueMatchSubAtt,MatchFightTime,FightTag,Result
10,Ben Johnston,Wes Schultz,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Middleweight,MALE,3,0,1,0,2.91,0.46,3.6,2.39,0.21,1,2,7,0,0,0,0,0,2,0,2,Orthodox,185.42,195.58,185,1,0,0,1.01,0.75,0.0,2.54,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,185,35,29,-1,1,1,2,1,4,0,0,2,-7.619999999999976,2.5400000000000205,-6,1.9,3.6,-0.1499999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Guillotine Choke,3.0,1:50,710.0,,,,,,,,,,,,,,May_02_26_ben_johnston_wes_schultz,5
11,Jonathan Micallef,Themba Gorimbo,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Red,False,Welterweight,MALE,3,3,0,0,2.7,0.56,0.4,4.52,0.62,4,4,19,0,0,0,3,1,0,0,4,Orthodox,185.42,195.58,170,0,4,0,3.85,0.43,0.7,1.08,0.42,4,0,9,0,0,1,1,0,2,0,4,Southpaw,182.88,195.58,170,27,35,3,-4,0,0,4,10,0,1,-2,2.5400000000000205,0.0,8,-1.15,-0.2999999999999999,3.4399999999999995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,May_02_26_jonathan_micallef_themba_gorimbo,3
12,Dom Mar Fan,Kody Steele,,,,,05/ 2/2026,"Perth, Western Australia, Australia",Australia,Blue,False,Lightweight,MALE,3,0,1,0,3.85,0.32,0.5,1.07,0.25,1,1,6,0,0,0,0,1,1,0,2,Orthodox,175.26,180.34,155,1,0,0,3.43,0.56,0.3,1.84,0.5,3,1,10,1,0,0,3,0,0,0,3,Orthodox,180.34,190.5,155,26,31,-1,1,-2,-1,0,-4,-1,1,1,-5.0800000000000125,-10.159999999999997,5,0.4199999999999999,0.2,-0.77,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Heel Hook,1.0,3:56,236.0,,,,,,,,,,,,,,May_02_26_dom_mar_fan_kody_steele,5
13,Aljamain Sterling,Youssef Zalal,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,5,1,0,1,2.78,0.5,1.3,1.84,0.31,5,4,35,0,0,0,4,0,4,0,8,Switch,177.8,182.88,145,0,2,0,4.26,0.52,0.6,2.54,0.32,9,5,70,5,0,2,9,2,4,0,18,Orthodox,170.18,180.34,145,36,29,1,-2,-4,-10,-1,-35,-5,-2,0,7.6200000000000045,2.539999999999992,-7,-1.48,0.7000000000000001,-0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,5.0,5:00,1500.0,,,,,,,,,,,,,,Apr_25_26_aljamain_sterling_youssef_zalal,3
14,Norma Dumont,Joselyne Edwards,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,5,0,4.61,0.53,0.6,1.29,0.36,5,4,34,0,0,2,3,2,2,0,9,Orthodox,172.72,177.8,135,1,0,0,3.85,0.5,0.0,1.43,0.54,6,3,36,0,0,2,7,0,0,0,9,Orthodox,170.18,170.18,135,35,30,-1,5,-1,0,1,-2,0,2,2,2.539999999999992,7.6200000000000045,-5,0.7600000000000002,0.6,-0.1399999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_norma_dumont_joselyne_edwards,6
15,Rafa Garcia,Alexander Hernandez,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.23,0.4,0.1,1.05,0.35,4,8,41,0,0,1,4,5,0,0,10,Orthodox,175.26,182.88,155,0,3,0,4.28,0.44,0.4,3.22,0.45,3,4,31,0,0,0,5,1,1,0,7,Orthodox,170.18,177.8,155,31,33,1,-3,1,3,4,10,0,4,-1,5.079999999999984,5.079999999999984,2,-0.0499999999999998,-0.3,-2.17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_rafa_garcia_alexander_hernandez,3
16,Davey Grant,Adrian Luna Martinetti,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,8.8,0.58,0.0,2.0,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,180.34,135,0,1,0,5.58,0.45,0.2,0.95,0.38,3,7,42,1,0,1,4,3,1,0,9,Orthodox,172.72,175.26,135,40,30,1,-1,-2,-8,-6,-36,-1,-3,-1,0.0,5.0800000000000125,-10,3.2200000000000006,-0.2,1.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_davey_grant_adrian_luna_martinetti,3
17,Montel Jackson,Raoni Barcelos,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,5,0,4.65,0.51,0.7,2.51,0.31,5,4,41,0,0,1,6,2,2,0,11,Orthodox,170.18,170.18,135,2,0,0,3.02,0.52,0.3,2.71,0.63,6,4,34,0,0,0,5,4,1,0,10,Southpaw,177.8,190.5,135,34,38,-2,5,-1,1,0,7,0,-2,1,-7.6200000000000045,-20.319999999999993,4,1.6300000000000003,0.3999999999999999,-0.2000000000000001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_montel_jackson_raoni_barcelos,6
18,Marcus Buchecha,Ryan Spann,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,2,0,3.11,0.39,1.7,1.21,0.34,5,7,28,0,0,1,1,4,5,0,11,Orthodox,195.58,200.66,205,2,0,1,1.59,0.5,0.4,2.02,0.16,0,2,8,0,0,0,0,0,0,0,0,Orthodox,187.96,195.58,255,36,34,-2,2,5,11,5,20,0,4,5,7.6200000000000045,5.079999999999984,-2,1.5199999999999998,1.2999999999999998,-0.81,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,2.0,2:10,430.0,,,,,,,,,,,,,,Apr_25_26_marcus_buchecha_ryan_spann,4
19,Rodolfo Vieira,Eric McConico,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,2.92,0.46,0.0,0.64,1.0,1,2,11,0,0,1,1,0,0,0,2,Southpaw,182.88,195.58,185,2,0,0,3.43,0.54,0.9,2.87,0.22,2,5,26,0,0,0,1,0,5,0,6,Orthodox,182.88,185.42,185,36,35,-2,1,-1,-4,-3,-15,0,0,-5,0.0,10.159999999999997,-1,-0.5100000000000002,-0.9,-2.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_rodolfo_vieira_eric_mcconico,6
20,Jackson McVey,Sedriques Dumas,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,3,0,0,1.97,0.44,0.2,1.3,0.31,2,5,18,0,0,0,3,0,1,0,4,Orthodox,187.96,200.66,185,0,1,0,6.51,0.69,1.2,0.0,0.0,1,2,4,0,0,0,0,0,1,0,1,Southpaw,193.04,195.58,185,27,30,3,-1,1,3,3,14,0,0,0,-5.079999999999984,5.079999999999984,3,-4.54,-1.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,D'Arce Choke,1.0,2:14,134.0,,,,,,,,,,,,,,Apr_25_26_jackson_mcvey_sedriques_dumas,2
21,Mayra Bueno Silva,Michelle Montague,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,2,0,2.77,0.48,0.0,3.5,0.53,2,0,6,0,0,0,2,0,0,0,2,Southpaw,175.26,172.72,135,5,0,1,3.52,0.56,1.3,0.46,0.23,3,7,36,1,0,0,1,0,5,0,6,Orthodox,167.64,167.64,135,34,32,-5,2,-1,-4,-7,-30,-1,0,-5,7.619999999999976,5.079999999999984,-2,-0.75,-1.3,3.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_mayra_bueno_silva_michelle_montague,6
22,Jafel Filho,Cody Durden,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,1,1,3.24,0.44,0.7,3.99,0.49,4,8,37,0,0,0,5,1,1,0,7,Southpaw,170.18,170.18,125,1,0,0,1.78,0.4,1.8,2.4,0.47,2,3,15,0,0,0,0,1,3,0,4,Orthodox,170.18,172.72,125,32,35,-1,1,2,3,5,22,0,0,-2,0.0,-2.539999999999992,3,1.4600000000000002,-1.1,1.5900000000000003,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_jafel_filho_cody_durden,6
23,Francis Marshall,Lucas Brennan,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,0.6,0.25,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,0,2,0,3.19,0.34,0.5,2.71,0.47,2,3,19,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,155,27,25,1,-2,-2,-5,-2,-16,0,-1,-1,2.5400000000000205,0.0,-2,-2.59,0.5,-2.71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_francis_marshall_lucas_brennan,3
24,Max Griffin,Victor Valenzuela,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,3.47,0.4,0.0,0.63,0.33,1,1,5,0,0,0,1,0,0,0,1,Orthodox,175.26,180.34,170,3,0,0,3.7,0.47,0.2,1.44,0.41,3,11,53,0,1,2,2,3,0,0,8,Orthodox,180.34,193.04,170,40,32,-3,1,-2,-7,-10,-48,0,-3,0,-5.0800000000000125,-12.699999999999989,-8,-0.2299999999999999,-0.2,-0.8099999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_max_griffin_victor_valenzuela,6
25,Talita Alencar,Julia Polastri,,,,,04/25/2026,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,6.22,0.56,0.3,0.62,0.8,1,4,20,0,0,1,0,1,1,0,3,Orthodox,157.48,160.02,115,0,3,1,3.09,0.36,0.5,3.01,0.29,3,1,18,0,0,1,2,0,1,0,4,Orthodox,154.94,147.32,115,35,28,1,-3,-2,-1,3,2,0,1,0,2.539999999999992,12.700000000000015,-7,3.13,-0.2,-2.3899999999999997,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_25_26_talita_alencar_julia_polastri,3
26,Gilbert Burns,Mike Malott,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Welterweight,MALE,5,0,4,0,4.02,0.48,0.7,1.63,0.5,4,1,19,0,0,0,2,3,3,0,8,Orthodox,185.42,185.42,170,5,0,0,3.16,0.48,0.4,2.04,0.35,6,10,66,1,0,0,7,3,5,0,15,Orthodox,177.8,180.34,170,39,34,-5,4,-2,-7,-9,-47,-1,0,-2,7.6200000000000045,5.0800000000000125,-5,0.8599999999999994,0.2999999999999999,-0.4100000000000001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,3.0,2:08,728.0,,,,,,,,,,,,,,Apr_18_26_gilbert_burns_mike_malott,4
27,Kyler Phillips,Charles Jourdain,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Bantamweight,MALE,3,0,3,1,5.36,0.49,0.6,0.38,0.21,3,7,42,0,0,0,3,2,4,0,9,Switch,175.26,175.26,135,3,0,0,4.75,0.43,0.3,2.82,0.47,4,4,30,0,0,0,4,2,1,0,7,Orthodox,172.72,182.88,135,30,30,-3,3,-1,2,3,12,0,0,3,2.539999999999992,-7.6200000000000045,0,0.6100000000000003,0.3,-2.44,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_18_26_kyler_phillips_charles_jourdain,6
28,Mandel Nallo,Jai Herbert,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Lightweight,MALE,3,0,1,1,3.19,0.41,0.0,0.42,0.21,1,5,24,0,0,0,2,2,0,0,4,Orthodox,185.42,195.58,155,1,0,0,8.26,0.58,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,190.5,155,36,37,-1,1,0,3,4,22,0,1,0,2.5400000000000205,5.0800000000000125,1,-5.07,0.0,0.42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punches,1.0,2:05,125.0,,,,,,,,,,,,,,Apr_18_26_mandel_nallo_jai_herbert,4
29,Jasmine Jasudavicius,Karine Silva,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Red,False,Women's Flyweight,FEMALE,3,2,0,0,2.24,0.38,1.6,1.93,0.5,5,3,20,0,0,0,2,0,4,0,6,Orthodox,165.1,170.18,125,0,1,0,3.47,0.44,0.5,2.63,0.46,5,3,35,0,0,0,7,0,3,0,10,Orthodox,170.18,172.72,125,37,32,2,-1,0,-4,0,-15,0,0,1,-5.0800000000000125,-2.539999999999992,-5,-1.23,1.1,-0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_18_26_jasmine_jasudavicius_karine_silva,3
30,Thiago Moises,Gauge Young,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Lightweight,MALE,3,0,2,0,6.32,0.52,0.0,0.75,0.3,2,2,12,0,0,1,1,0,0,0,2,Orthodox,175.26,177.8,155,2,0,0,2.52,0.42,1.1,1.37,0.29,3,8,41,0,0,0,4,2,3,0,9,Orthodox,175.26,177.8,155,31,25,-2,2,-1,-7,-6,-29,0,-2,-3,0.0,0.0,-6,3.8,-1.1,-0.6200000000000001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,Apr_18_26_thiago_moises_gauge_young,6
31,Dennis Buzukja,Marcio Barbosa,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Featherweight,MALE,3,0,2,0,7.01,0.47,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,167.64,177.8,145,2,0,0,4.21,0.43,0.2,0.62,0.27,1,5,17,0,0,0,1,1,0,0,2,Switch,175.26,177.8,145,28,27,-2,2,1,0,-5,-15,0,1,0,-7.619999999999976,0.0,-1,2.8,-0.2,-0.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch,1.0,1:20,80.0,,,,,,,,,,,,,,Apr_18_26_dennis_buzukja_marcio_barbosa,4
32,Julien Leblanc,Robert Valentin,,,,,04/18/2026,"Winnipeg, Manitoba, Canada",Canada,Blue,False,Middleweight,MALE,3,0,1,0,1.3,0.55,1.8,0.59,0.5,1,3,7,1,0,0,0,0,1,0,1,Orthodox,187.96,195.58,185,1,0,0,1.69,0.66,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,187.96,187.96,185,34,31,-1,1,1,1,2,6,1,0,1,0.0,7.6200000000000045,-3,-0.3899999999999999,1.8,0.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,2:22,142.0,,,,,,,,,,,,,,Apr_18_26_julien_leblanc_robert_valentin,5
